team_id;team_name;elo
ARS;Arsenal;2042
BAY;Bayern;1998
MCI;Man City;1984
PSG;Paris SG;1966
BAR;Barcelona;1935
LIV;Liverpool;1933
INT;Inter;1917
RMA;Real Madrid;1904
CHE;Chelsea;1896
NEW;Newcastle;1880
ATM;Atletico;1867
DOR;Dortmund;1860
LEV;Leverkusen;1843
NAP;Napoli;1832
TOT;Tottenham;1827
SPO;Sporting;1819
PSV;PSV;1804
BEN;Benfica;1800
JUV;Juventus;1795
ATA;Atalanta;1794
OM;Marseille;1781
VIL;Villarreal;1772
SGE;Frankfurt;1725
ASM;Monaco;1718
GAL;Galatasaray;1715
OLY;Olympiacos;1691
SLA;Slavia Prague;1683
USG;Union SG;1708
BOD;Bodo/Glimt;1649
COP;Copenhagen;1596
AJA;Ajax;1591
QAR;Qarabag;1546
BRU;Club Brugge;1700
BIL;Athletic Club;1733
PAF;Pafos;1554
KAI;Kairat Almaty;1300
